AppID,Name,Release date,Estimated owners,Price,Supported languages,Metacritic score,User score,Positive,Negative,Recommendations,Average playtime forever,Median playtime forever,Developers,Publishers,Categories,Genres,Steam score,Lower,Upper,Earnings Range
603960,Monolith,"Jun 7, 2017",100000 - 200000,7.99,"['English', 'German']",83,0,1484,28,1391,316,515,Team D-13,Team D-13,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards","Action,Indie",98,100000,200000,"(799000.0, 1598000.0)"
466630,The Pedestrian,"Jan 29, 2020",100000 - 200000,19.99,['English'],81,0,2966,75,2824,112,157,Skookum Arts,Skookum Arts,"Single-player,Steam Achievements,Full controller support,Steam Cloud","Adventure,Indie",98,100000,200000,"(1998999.9999999998, 3997999.9999999995)"
433340,Slime Rancher,"Aug 1, 2017",1000000 - 2000000,19.99,"['English', 'French', 'German', 'Russian', 'Swedish', 'Simplified Chinese', 'Japanese', 'Portuguese - Brazil', 'Korean', 'Spanish - Latin America']",81,0,90636,1970,81934,860,509,Monomi Park,Monomi Park,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Action,Adventure,Indie,Simulation",98,1000000,2000000,"(19990000.0, 39980000.0)"
337340,Finding Paradise,"Dec 14, 2017",200000 - 500000,9.99,"['English', 'Simplified Chinese', 'Polish', 'Ukrainian', 'Spanish - Spain', 'Korean', 'Italian', 'Portuguese - Brazil', 'Czech', 'Russian', 'German', 'Turkish', 'Hungarian', 'French', 'Spanish - Latin America']",81,0,13596,290,12286,268,249,Freebird Games,Freebird Games,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Adventure,Indie,RPG",98,200000,500000,"(1998000.0, 4995000.0)"
251290,The Legend of Heroes: Trails in the Sky SC,"Oct 29, 2015",50000 - 100000,29.99,['English'],80,0,2338,50,2107,2498,2712,Nihon Falcom,"XSEED Games,Marvelous USA, Inc.","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud",RPG,98,50000,100000,"(1499500.0, 2999000.0)"
990630,The Last Campfire,"Oct 7, 2021",200000 - 500000,5.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Dutch', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Turkish']",80,0,2558,62,2220,247,353,Hello Games,Hello Games,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Adventure,Indie",98,200000,500000,"(1198000.0, 2995000.0)"
787480,Phoenix Wright: Ace Attorney Trilogy,"Apr 9, 2019",200000 - 500000,29.99,"['Japanese', 'English', 'French', 'German', 'Simplified Chinese', 'Traditional Chinese', 'Korean']",80,0,15202,355,13182,2193,878,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet",Adventure,98,200000,500000,"(5998000.0, 14995000.0)"
420530,OneShot,Dec 2016,500000 - 1000000,9.99,"['English', 'Japanese', 'French', 'Spanish - Spain', 'Portuguese - Brazil', 'Korean', 'Simplified Chinese', 'Traditional Chinese']",80,0,29225,535,27182,334,300,Future Cat LLC,Komodo,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud","Adventure,Casual,Indie",98,500000,1000000,"(4995000.0, 9990000.0)"
1424330,Wobbledogs,"Mar 15, 2022",50000 - 100000,19.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",79,0,3845,80,3577,91,91,Animal Uprising,Secret Mode,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud","Casual,Indie,Simulation",98,50000,100000,"(999499.9999999999, 1998999.9999999998)"
253230,A Hat in Time,"Oct 5, 2017",500000 - 1000000,29.99,"['English', 'German', 'Korean', 'French', 'Simplified Chinese', 'Traditional Chinese', 'Italian', 'Japanese', 'Portuguese', 'Portuguese - Brazil', 'Spanish - Latin America']",79,0,43271,861,35071,1147,568,Gears for Breakfast,Gears for Breakfast,"Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Workshop,Steam Cloud,Stats,Includes level editor,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together","Adventure,Indie",98,500000,1000000,"(14995000.0, 29990000.0)"
